Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 0, 0.0, 0
Query 2, 4, 40.0, -4.1
Query 3, 0, 0.0, 0
Query 4, 2, 20.0, 1.0
Query 5, 4, 40.0, -5.6
Query 6, 0, 0.0, 0
Query 7, 4, 40.0, -0.8999999999999999
Query 8, 3, 30.0, -11.75
Query 9, 5, 50.0, 0.15000000000000002
Query 10, 0, 0.0, 0
Query 11, 4, 40.0, -4.8
Query 12, 2, 20.0, -24.0
Query 13, 1, 10.0, 0
Query 14, 3, 30.0, -6.25
Query 15, 2, 20.0, -71.0
Query 16, 4, 40.0, -2.5
Query 17, 0, 0.0, 0
Query 18, 1, 10.0, 0
Query 19, 1, 10.0, 1
Query 20, 3, 30.0, -22.5
Query 21, 1, 10.0, 0
Query 22, 1, 10.0, 0
Query 23, 3, 30.0, -16.25
Query 24, 3, 30.0, -4.0
Query 25, 3, 30.0, -3.25
Query 26, 2, 20.0, -4.0
Query 27, 2, 20.0, -1.0
Query 28, 6, 60.0, -1.657142857142857
Query 29, 2, 20.0, -36.0
Query 30, 1, 10.0, 0
Query 31, 6, 60.0, -0.3999999999999999
Query 32, 3, 30.0, -17.25
Query 33, 4, 40.0, -2.9
Query 34, 4, 40.0, -1.9
Query 35, 3, 30.0, -9.5
Query 36, 1, 10.0, 0
Query 37, 1, 10.0, 0
Query 38, 1, 10.0, 0
Query 39, 1, 10.0, 0
Query 40, 1, 10.0, 1
Query 41, 0, 0.0, 0
Query 42, 4, 40.0, -0.6000000000000001
Query 43, 2, 20.0, -31.0
Query 44, 0, 0.0, 0
Query 45, 4, 40.0, -8.1
Query 46, 1, 10.0, 1
Query 47, 1, 10.0, 1
Query 48, 5, 50.0, -0.6499999999999999
Query 49, 6, 60.0, -0.8
Query 50, 1, 10.0, 0
Query 51, 2, 20.0, -19.0
Query 52, 4, 40.0, -9.0
Query 53, 1, 10.0, 0
Query 54, 3, 30.0, -19.5
Query 55, 2, 20.0, -9.0
Query 56, 5, 50.0, 0.30000000000000004
Query 57, 2, 20.0, 0.0
Query 58, 2, 20.0, 0.0
Query 59, 3, 30.0, 1.0
Query 60, 1, 10.0, 1
Query 61, 1, 10.0, 0
Query 62, 3, 30.0, -16.0
Query 63, 4, 40.0, -5.6
Query 64, 2, 20.0, -16.0
Query 65, 0, 0.0, 0
Query 66, 0, 0.0, 0
Query 67, 1, 10.0, 0
Query 68, 5, 50.0, -1.9500000000000002
Query 69, 2, 20.0, -52.0
Query 70, 0, 0.0, 0
Query 71, 4, 40.0, -2.1
Query 72, 0, 0.0, 0
Query 73, 0, 0.0, 0
Query 74, 3, 30.0, -17.5
Query 75, 5, 50.0, -1.25
Query 76, 4, 40.0, -2.6
Query 77, 0, 0.0, 0
Query 78, 1, 10.0, 0
Query 79, 1, 10.0, 0
Query 80, 0, 0.0, 0
Query 81, 0, 0.0, 0
Query 82, 0, 0.0, 0
Query 83, 1, 10.0, 0
Query 84, 0, 0.0, 0
Query 85, 2, 20.0, -4.0
Query 86, 3, 30.0, -12.0
Query 87, 1, 10.0, 0
Query 88, 1, 10.0, 0
Query 89, 3, 30.0, -3.25
Query 90, 0, 0.0, 0
Query 91, 2, 20.0, -9.0
Query 92, 6, 60.0, -1.3142857142857145
Query 93, 0, 0.0, 0
Query 94, 4, 40.0, -8.2
Query 95, 5, 50.0, 0.6
Query 96, 3, 30.0, -17.0
Query 97, 0, 0.0, 0
Query 98, 2, 20.0, -1.0
Query 99, 0, 0.0, 0
Query 100, 3, 30.0, -14.5
Average, 2.13, 21.3, -5.263714285714286
